menu_id,method,route,controller,prefix,middleware,description,deletable
1,GET,app/dashboard/{read},App\DashboardController@read,api,,,0
2,GET,app/menu/{read},App\MenuController@read,,,,0
2,POST,app/menu,App\MenuController@create,,,,
2,PUT,app/menu/{id},App\MenuController@update,,,,
2,DELETE,app/menu/{id},App\MenuController@read,,,,
3,GET,app/route/{read},App\RouteController@delete,,,,
3,POST,app/route/,App\RouteController@create,,,,
3,POST,app/route/generator,App\RouteController@generator,,,,
3,DELETE,app/route/{id},App\RouteController@delete,,,,
4,GET,app/user/{read},App\UserController@read,,,,
4,POST,app/user,App\UserController@create,,,,
4,PUT,app/user/{id},App\UserController@update,,,,
4,DELETE,app/user/{id},App\UserController@read,,,,
5,GET,app/role/{read},App\RoleController@read,,,,
5,POST,app/role,App\RoleController@create,,,,
5,PUT,app/role/{id},App\RoleController@update,,,,
5,DELETE,app/role/{id},App\RoleController@read,,,,
6,GET,app/config/{read},App\ConfigController@read,,,,
6,POST,app/config,App\ConfigController@create,,,,
6,PUT,app/config/{id},App\ConfigController@update,,,,
6,DELETE,app/config/{id},App\ConfigController@read,,,,
6,GET,app/configvalue/{read},App\ConfigvalueController@read,,,,
6,POST,app/configvalue,App\ConfigvalueController@create,,,,
6,PUT,app/configvalue/{id},App\ConfigvalueController@update,,,,
6,DELETE,app/configvalue/{id},App\ConfigvalueController@read,,,,
